week_start_date,query,page_rank,rank_bucket,product_name,brand,maker,price,category1,category2,category3,category_for_group,link
2025-12-22,,32,Top50,듀이트리 AC 컨트롤 딥 그린 카밍 패드 60매,듀이트리,제닉,15105,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929271771
2025-12-22,,15,Top20,듀이트리 AC 딥 흔적 진정 패드 80매,듀이트리,씨앤에프,15900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/58034508834
2025-12-22,,30,Top50,듀이트리 픽앤퀵 화장발 뜯어쓰는 더블 패드 100매,듀이트리,씨앤에프,14630,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929204206
2025-12-22,,21,Top50,더씨앤랩 보령머드 저자극 피부진정 쿨링 토너패드 앰플패드,,,14800,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/12569146715
2025-12-22,,89,Top100,더마토리 시카 흔적 진정 거즈 패드 베베더오리 콜라보 70매,더마토리,이미인,15900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/57991803756
2025-12-22,,77,Top100,더랩바이블랑두 그린 플라 진정 패드 90매,더랩바이블랑두,씨앤에프,18400,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/5534167977
2025-12-22,,33,Top50,달바 데일리 마일드 시카 카밍 패드 50매,달바,블리스팩,7940,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929242435
2025-12-22,,5,Top10,달달 아데노신 진정 수분 토너 패드 팩 병풀 마데카 피부 트러블 100매,달달,다비드화장품,18900,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://smartstore.naver.com/main/products/12238144945
2025-12-22,,14,Top20,넘버즈인 1번 시카 갈아만든 초록패드 70매,넘버즈인,씨앤에프,14260,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929360106
2025-12-22,,4,Top10,나엑스나 속깊은 토너 패드 60매,결고은사람들,결고은사람들,24300,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/58076276940
2025-12-22,,46,Top50,김정문알로에 큐어 피토 그린 릴렉싱 토너 패드 60매,김정문알로에,나우코스,15260,화장품/미용,스킨케어,토너패드/앰플패드,스킨케어,https://search.shopping.naver.com/catalog/51929231167
